id,imdb_id,original_title,adult,backdrop_path,budget,homepage,original_language,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,collection_id,collection_name,origin_country,genres,genre_ids,production_companies,production_countries,spoken_languages,keywords
81188,tt1446192,Rise of the Guardians,False,/sDPk862OKB0Ckkvebo4M2k5AKly.jpg,145000000,http://www.riseoftheguardians.com/,en,"When an evil spirit known as Pitch lays down the gauntlet to take over the world, the immortal Guardians must join forces for the first time to protect the hopes, beliefs and imagination of children all over the world.",8.6385,/sW4qOa9yF0Ikg7lppncQ0n5UhKX.jpg,2012-11-21,306941670,97,Released,You better believe.,Rise of the Guardians,False,7.37,7011,,,US,Animation|Family|Fantasy|Action|Adventure,16|10751|14|28|12,DreamWorks Animation,United States of America,French|English,new york city|friendship|amnesia|santa claus|cartoon|villain|easter bunny|boogeyman|jack frost|duringcreditsstinger|christmas
44833,tt1440129,Battleship,False,/85PMh0cKywekAJYDnRXfezYAmEc.jpg,209000000,,en,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential that his brother, and his fiancée's father—an Admiral—expect of him.",8.2718,/9b0Im7SfedHiajTwzSL9zGyBI7M.jpg,2012-04-11,303025485,131,Released,The battle for Earth begins at sea.,Battleship,False,5.881,5787,,,US,Thriller|Action|Adventure|Science Fiction,53|28|12|878,Bluegrass Films|Film 44|dentsu|Universal Pictures|Hasbro Studios,Japan|United States of America,English|Japanese,fight|u.s. navy|mind reading|hong kong|football (soccer)|scientist|fictional war|armada|battleship|naval combat|jds myoko|lost communication|taser|buoy|communications expert|joint chiefs of staff|crash landing|jet fighter pilot|navy lieutenant|permission to marry|aftercreditsstinger|naval warfare|uss missouri|based on board game
70160,tt1392170,The Hunger Games,False,/3sndNmvdF0R8AeyCmVoNv8LKtNy.jpg,75000000,https://hungergames.movie/,en,"In a dystopian society where the Capitol forces each district to send two young tributes to fight to the death in a televised spectacle, a girl volunteers to take her sister’s place, setting the stage for a struggle of survival and defiance.",8.1115,/yXCbOiVDCxO71zI7cuwBRXdftq8.jpg,2012-03-12,694000000,142,Released,The world will be watching.,The Hunger Games,False,7.221,22893,131635,The Hunger Games Collection,US,Science Fiction|Adventure|Action|Thriller,878|12|28|53,Lionsgate|Color Force,United States of America,English,based on novel or book|revolution|dystopia|monarchy|female protagonist|fashion|bow and arrow|game|hunting|archery|death match|futuristic city|survival competition|forced to kill|world hunger|based on young adult novel|futuristic architecture|battle royale|romantic|futuristic world
64688,tt1232829,21 Jump Street,False,/d1ACwtoBygLKkGjCq9LUXnmcki.jpg,42000000,http://www.21jumpstreet-movie.com/,en,"When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go undercover as high school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.",8.0373,/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg,2012-03-14,201585328,109,Released,The only thing getting blown tonight is their cover.,21 Jump Street,False,6.884,10751,212562,Jump Street Collection,US,Action|Comedy|Crime,28|35|80,Columbia Pictures|Relativity Media|Original Film|Metro-Goldwyn-Mayer|Stephen J. Cannell Productions|SJC Studios,United States of America,English,drug dealer|high school|investigation|nerd|male friendship|parody|jock|crude humor|undercover cop|high school student|police academy|buddy cop|buddy comedy|duringcreditsstinger|high school rivalry|bicycle cop|based on tv series|cops|party drugs|high school classmates
76726,tt1706593,Chronicle,False,/rgNzvSagnlc32TuMEBa529QFIig.jpg,15000000,,en,"Three high school students make an incredible discovery, leading to their developing uncanny powers beyond their understanding. As they learn to control their abilities and use them to their advantage, their lives start to spin out of control, and their darker sides begin to take over.",7.9527,/kdyrdFIt29FUmLIKvedAc2j4rpo.jpg,2012-02-01,145000000,84,Released,What are you capable of?,Chronicle,False,6.84,5578,,,US,Science Fiction|Drama|Thriller,878|18|53,Dune Entertainment|Davis Entertainment|Adam Schroeder Productions|20th Century Fox,United States of America,English,"friendship|flying|seattle, washington|telekinesis|coming of age|outcast|loneliness|super power|found footage|aftercreditsstinger|abuse|teenager|intense|assertive|joyful|超能失控"
75780,tt0790724,Jack Reacher,False,/iwvP8XVpYVmJ3xfF9xdBi5uAOWl.jpg,60000000,http://www.jackreachermovie.com/,en,"One morning in an ordinary town, five people are shot dead in a seemingly random attack. All evidence points to a single suspect: an ex-military sniper who is quickly brought into custody. The interrogation yields one written note: 'Get Jack Reacher!'. Reacher, an enigmatic ex-Army investigator, believes the authorities have the right man but agrees to help the sniper's defense attorney. However, the more Reacher delves into the case, the less clear-cut it appears. So begins an extraordinary chase for the truth, pitting Jack Reacher against an unexpected enemy, with a skill for violence and a secret to keep.",7.8772,/uQBbjrLVsUibWxNDGA4Czzo8lwz.jpg,2012-12-20,218300000,130,Released,The law has limits. He does not.,Jack Reacher,False,6.653,7434,403374,Jack Reacher Collection,US,Crime|Drama|Thriller|Action,80|18|53|28,Paramount Pictures|Skydance Media|TC Productions,United States of America,English,sniper|coma|based on novel or book|detective|investigation|police chase|investigator|district attorney|defense attorney|military police|murder investigation|loner|off the grid|mass shooting|ex army|father daughter relationship|army veteran|physical evidence|intense|fist fight|forensic evidence|gun range|random act of violence
114150,tt1981677,Pitch Perfect,False,/2sE6hrwfn9IV7eDlMvpIb9q1EWy.jpg,17000000,http://www.pitchperfectmovie.com/,en,"College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions.",7.5363,/gsFoJk9g8W3zgaipRrrURk7LbiF.jpg,2012-09-28,115647426,112,Released,Get pitch slapped.,Pitch Perfect,False,7.275,6769,306031,Pitch Perfect Collection,US,Comedy|Music|Romance,35|10402|10749,Brownstone Productions|Gold Circle Films|Universal Pictures,United States of America,English,competition|roommates|college|female friendship|misfit|hazing|university|audition|group of friends|dorm room|bickering|dj|singing competition|film score|young adult|acapella
41154,tt1409024,Men in Black 3,False,/5AhpUb8CAP0jZ4Wrn7AsRUYjZxB.jpg,225000000,http://www.sonypictures.com/movies/meninblack3/,en,"Agents J and K are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K to save his partner, the agency, and the future of humankind.",7.5101,/90DdoEStzeObs96fsYf4GG544iN.jpg,2012-05-23,654213485,106,Released,Back in time.,Men in Black 3,False,6.538,10752,86055,Men in Black Collection,US,Action|Comedy|Science Fiction,28|35|878,Columbia Pictures|Hemisphere Media Capital|Amblin Entertainment|Parkes+MacDonald Image Nation|Image Nation Abu Dhabi,United Arab Emirates|United States of America,English,time travel|time machine|based on comic|alien|buddy cop|fictional government agency|seeing the future|changing history
77866,tt1524137,Contraband,False,/3se6YngJYOQ8rpbp7ZeNcnSKmmM.jpg,25000000,,en,"When his brother-in-law runs afoul of a drug lord, family man Chris Farraday turns to a skill he abandoned long ago—smuggling—to repay the debt. But the job goes wrong, and Farraday finds himself wanted by cops, crooks and killers alike.",7.3137,/dNNjyZQ0zVtmPa74nJE63Kn0xEx.jpg,2012-01-12,96262212,109,Released,What would you hide to protect your family?,Contraband,False,6.335,2151,,,US|GB|FR,Thriller|Action|Drama|Crime,53|28|18|80,Universal Pictures|Relativity Media|Working Title Films|BlueEyes Productions|Leverage Entertainment|Closest to the Hole Productions|Farraday Films,Iceland|United Kingdom|United States of America,English,smuggling (contraband)|head wound|criminal|security guard
87827,tt0454876,Life of Pi,False,/8oeXbjMtaYYGgjJl9RJNe7umkuS.jpg,120000000,https://www.20thcenturystudios.com/movies/life-of-pi,en,"The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.",7.2363,/iLgRu4hhSr6V1uManX6ukDriiSc.jpg,2012-11-20,609016565,127,Released,Take the journey of a lifetime.,Life of Pi,False,7.405,13541,,,US,Adventure|Drama,12|18,Fox 2000 Pictures|Dune Entertainment|Ingenious Media|Haishang Films|Netter Productions|India Take One|Big Screen Productions,India|Taiwan|United Kingdom|United States of America,French|Hindi|English|Japanese|Tamil,sea|faith|loss of loved one|1970s|zebra|survival|young boy|zookeeper|orangutan|teenage boy|hyena|meerkat|magic realism|cargo ship|lifeboat|injured animal|storm at sea|told in flashback|wreckage|loss of family|teenage protagonist|family loss|flying fish|exhilarated|vibrant|teen fantasy
